IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #KEYPOINTS ON VEHICLE, #DESCRIPTORS, #MATCHED KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
2, FAST, FREAK, MAT_BF, SEL_KNN, 1810, 150, 9600, 99, 0.890189, 53.278, 0.80515
3, FAST, FREAK, MAT_BF, SEL_KNN, 1817, 155, 9920, 91, 0.891821, 51.5361, 0.75215
4, FAST, FREAK, MAT_BF, SEL_KNN, 1793, 149, 9536, 98, 0.899019, 50.7979, 0.736621
5, FAST, FREAK, MAT_BF, SEL_KNN, 1796, 149, 9536, 85, 0.960279, 49.0508, 0.780917
6, FAST, FREAK, MAT_BF, SEL_KNN, 1788, 156, 9984, 99, 0.885713, 58.6042, 0.81963
7, FAST, FREAK, MAT_BF, SEL_KNN, 1695, 150, 9600, 102, 1.12225, 52.3608, 0.873288
8, FAST, FREAK, MAT_BF, SEL_KNN, 1749, 138, 8832, 101, 0.952887, 51.7228, 0.719875
9, FAST, FREAK, MAT_BF, SEL_KNN, 1770, 143, 9152, 105, 0.927276, 50.1704, 0.645977
0, FAST, SIFT, MAT_BF, SEL_KNN, 1824, 149, 19072, 0, 0.893576, 27.0543, 0
1, FAST, SIFT, MAT_BF, SEL_KNN, 1832, 152, 19456, 118, 0.888285, 32.7624, 0.985136
2, FAST, SIFT, MAT_BF, SEL_KNN, 1810, 150, 19200, 123, 0.930692, 34.9357, 6.31726
3, FAST, SIFT, MAT_BF, SEL_KNN, 1817, 155, 19840, 110, 1.00656, 28.7945, 0.985542
4, FAST, SIFT, MAT_BF, SEL_KNN, 1793, 149, 19072, 119, 0.83313, 36.081, 0.987596
5, FAST, SIFT, MAT_BF, SEL_KNN, 1796, 149, 19072, 114, 0.9161, 32.7612, 0.924118
6, FAST, SIFT, MAT_BF, SEL_KNN, 1788, 156, 19968, 119, 0.905649, 39.8573, 1.1253
7, FAST, SIFT, MAT_BF, SEL_KNN, 1695, 150, 19200, 123, 0.902069, 31.6779, 1.00108
8, FAST, SIFT, MAT_BF, SEL_KNN, 1749, 138, 17664, 117, 0.936172, 30.5695, 0.859298
9, FAST, SIFT, MAT_BF, SEL_KNN, 1770, 143, 18304, 103, 1.2398, 35.0545, 0.859408
0, BRISK, BRISK, MAT_BF, SEL_KNN, 2757, 264, 16896, 0, 48.2573, 3.36311, 0
1, BRISK, BRISK, MAT_BF, SEL_KNN, 2777, 282, 18048, 171, 49.519, 3.54841, 2.18525
2, BRISK, BRISK, MAT_BF, SEL_KNN, 2741, 282, 18048, 176, 48.0738, 3.51962, 2.30953
3, BRISK, BRISK, MAT_BF, SEL_KNN, 2735, 277, 17728, 157, 47.8763, 3.61702, 2.23548
4, BRISK, BRISK, MAT_BF, SEL_KNN, 2757, 297, 19008, 176, 48.0206, 3.65824, 2.36897
5, BRISK, BRISK, MAT_BF, SEL_KNN, 2695, 279, 17856, 174, 47.4319, 3.71637, 2.38406
6, BRISK, BRISK, MAT_BF, SEL_KNN, 2715, 289, 18496, 188, 48.6344, 3.59517, 2.30373
7, BRISK, BRISK, MAT_BF, SEL_KNN, 2628, 272, 17408, 173, 47.0521, 3.40025, 2.27358
8, BRISK, BRISK, MAT_BF, SEL_KNN, 2639, 266, 17024, 171, 49.1856, 3.66821, 2.11511
